Order,Region,Catchment,River,Gauge,Site type,Site sub-type,Site number,Site status,National Grid Reference
205,SWWM,Trent,Burton Trent,Yoxall,Surface water sites,River flow - continuous,4012,open,SK1321017720
206,SWWM,Trent,River Blithe and River Swarbourne,Blythe Bridge,Surface water sites,Surface water level (including tide and lake level) - continuous,4159,open,SJ9516341409
207,SWWM,Trent,River Blithe and River Swarbourne,Cresswell,Surface water sites,Surface water level (including tide and lake level) - continuous,4863,open,SJ9765039060
208,SWWM,Trent,River Blithe and River Swarbourne,Hamstall Ridware,Surface water sites,River flow - continuous,4002,open,SK1089019170
209,SWWM,Trent,River Blithe and River Swarbourne,Hoar Cross,Surface water sites,Surface water level (including tide and lake level) - continuous,4169,open,SK1408020300
210,SWWM,Trent,River Mease,Clifton Hall,Surface water sites,River flow - continuous,4175,open,SK2639011290
211,SWWM,Trent,River Mease,Packington,Surface water sites,Surface water level (including tide and lake level) - continuous,4167,open,SK3599014420
212,SWWM,Trent,River Sow and River Penk,Astonfields,Surface water sites,Surface water level (including tide and lake level) - continuous,4182,open,SJ9243024500
213,SWWM,Trent,River Sow and River Penk,Broadeye Bridge,Surface water sites,Surface water level (including tide and lake level) - continuous,4703,open,SJ9179023300
214,SWWM,Trent,River Sow and River Penk,Bushbury Wychall Drive,Surface water sites,Surface water level (including tide and lake level) - continuous,4651,open,SJ9208903754
215,SWWM,Trent,River Sow and River Penk,Cannock,Surface water sites,Surface water level (including tide and lake level) - continuous,4176,open,SJ9839009430
216,SWWM,Trent,River Sow and River Penk,Churchbridge Hall Lane,Surface water sites,Surface water level (including tide and lake level) - continuous,4663,open,SJ9892807599
217,SWWM,Trent,River Sow and River Penk,Coven,Surface water sites,Surface water level (including tide and lake level) - continuous,4177,open,SJ9038007260
218,SWWM,Trent,River Sow and River Penk,Deepmore Farm,Surface water sites,Surface water level (including tide and lake level) - continuous,4170,open,SJ9278008920
219,SWWM,Trent,River Sow and River Penk,Great Bridgford,Surface water sites,River flow - continuous,4052,open,SJ8835026980
220,SWWM,Trent,River Sow and River Penk,Milford,Surface water sites,Surface water level (including tide and lake level) - continuous,4014,open,SJ9754021530
221,SWWM,Trent,River Sow and River Penk,Penkridge,Surface water sites,River flow - continuous,4053,open,SJ9219114433
222,SWWM,Trent,River Sow and River Penk,Shallowford,Surface water sites,River flow - continuous,4079,open,SJ8750029074
223,SWWM,Trent,River Sow and River Penk,Stafford,Surface water sites,Surface water level (including tide and lake level) - continuous,4249,open,SJ9202321415
224,SWWM,Trent,River Stour & Smestow Brook ,Halesowen,Surface water sites,Surface water level (including tide and lake level) - continuous,2516,open,SO9592484993
225,SWWM,Trent,River Stour & Smestow Brook ,Halesowen Dogkennel Lane,Surface water sites,Surface water level (including tide and lake level) - continuous,2539,open,SO9689383036
226,SWWM,Trent,River Stour & Smestow Brook ,Halesowen Manor Way,Surface water sites,Surface water level (including tide and lake level) - continuous,2538,open,SO9727983028
227,SWWM,Trent,River Stour & Smestow Brook ,Prestwood,Surface water sites,River flow - continuous,2063,open,SO8670086150
228,SWWM,Trent,River Stour & Smestow Brook ,Stourbridge,Surface water sites,Surface water level (including tide and lake level) - continuous,2083,open,SO9056084460
229,SWWM,Trent,River Stour & Smestow Brook ,Swindon,Surface water sites,River flow - continuous,2067,open,SO8612090560
230,SWWM,Trent,River Stour & Smestow Brook ,Wightwick,Surface water sites,Surface water level (including tide and lake level) - continuous,2641,open,SO8707098300
231,SWWM,Trent,River Stour & Smestow Brook ,Wombourne,Surface water sites,Surface water level (including tide and lake level) - continuous,2706,open,SO8623992608
232,SWWM,Trent,Rugeley Trent,Great Haywood,Surface water sites,Surface water level (including tide and lake level) - continuous,4006,open,SJ9936023090
233,SWWM,Trent,Stoke Trent,Brindley Ford,Surface water sites,Surface water level (including tide and lake level) - continuous,4165,open,SJ8811054100
234,SWWM,Trent,Stoke Trent,Darlaston Us,Surface water sites,River flow - continuous,4083,open,SJ8857035500
235,SWWM,Trent,Stoke Trent,Hanford Bridge,Surface water sites,Surface water level (including tide and lake level) - continuous,4843,open,SJ8669042710
236,SWWM,Trent,Stoke Trent,Knypersley Gsm,Surface water sites,Surface water level (including tide and lake level) - continuous,4179,open,SJ8961054050
237,SWWM,Trent,Stoke Trent,Liverpool Road,Surface water sites,Surface water level (including tide and lake level) - continuous,4815,open,SJ8764845631
238,SWWM,Trent,Stoke Trent,Newcastle,Surface water sites,Surface water level (including tide and lake level) - continuous,4152,open,SJ8474645693
239,SWWM,Trent,Stoke Trent,Stoke-On-Trent,Surface water sites,River flow - continuous,4040,open,SJ8917046670
240,SHWG,Wye,Wye,Belmont,Surface water sites,River flow - continuous,55002,open,SO4850038799
241,SHWG,Wye,Wye,Bredwardine,Surface water sites,Surface water level (including tide and lake level) - continuous,55811,open,SO3370744681
242,SHWG,Wye,Wye,Eywas Harold Great Walkmill Farm,Surface water sites,Surface water level (including tide and lake level) - continuous,2553,open,SO3833629243
243,SHWG,Wye,Wye,Lydbrook,Surface water sites,Surface water level (including tide and lake level) - continuous,55843,open,SO6024117389
244,SHWG,Wye,Wye,Mordiford,Surface water sites,Surface water level (including tide and lake level) - continuous,55816,open,SO5683136494
245,SHWG,Wye,Wye,Old Wye Bridge,Surface water sites,Surface water level (including tide and lake level) - continuous,55807,open,SO5056839430
246,SHWG,Wye,Wye,Ross On Wye,Surface water sites,Surface water level (including tide and lake level) - continuous,55817,open,SO5968224254
247,SHWG,Wye,Wye,Sandford Bridge,Surface water sites,River flow - continuous,55027,open,SO6406525717
248,SHWG,Wye,Wye Tributaries,Bishops Frome,Surface water sites,River flow - continuous,55028,open,SO6666548863
249,SHWG,Wye,Wye Tributaries,Bromyard,Surface water sites,Surface water level (including tide and lake level) - continuous,55040,open,SO6582454891
250,SHWG,Wye,Wye Tributaries,Butts Bridge,Surface water sites,River flow - continuous,55021,open,SO5020858942
251,SHWG,Wye,Wye Tributaries,Byton,Surface water sites,River flow - continuous,55014,open,SO3643264689
252,SHWG,Wye,Wye Tributaries,Eardisland,Surface water sites,Surface water level (including tide and lake level) - continuous,55829,open,SO4196258698
253,SHWG,Wye,Wye Tributaries,Ford Bridge - Marlbrook,Surface water sites,Surface water level (including tide and lake level) - continuous,55041,open,SO5097055101
254,SHWG,Wye,Wye Tributaries,Leominster Osborne Place,Surface water sites,Surface water level (including tide and lake level) - continuous,2531,open,SO4930659483
255,SHWG,Wye,Wye Tributaries,Leominster Upper Marsh,Surface water sites,Surface water level (including tide and lake level) - continuous,2532,open,SO4996259713
256,SHWG,Wye,Wye Tributaries,Lugwardine,Surface water sites,River flow - continuous,55003,open,SO5487140585
257,SHWG,Wye,Wye Tributaries,Peterchurch,Surface water sites,Surface water level (including tide and lake level) - continuous,55039,open,SO3444238549
258,SHWG,Wye,Wye Tributaries,Three Elms,Surface water sites,River flow - continuous,55031,open,SO4912241454
259,SHWG,Wye,Wye Tributaries,Titley Mill,Surface water sites,River flow - continuous,55013,open,SO3282158500
260,SHWG,Wye,Wye Tributaries,Yarkhill,Surface water sites,River flow - continuous,55018,open,SO6148242705
